city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Sterling Heights,US,42.58,-83.03,132052,False,76,62,29.599999999999998,0.0,2.0,0.0,0.0,36.0,29.599999999999998,0.0,2.0,0.0,0.0,61.199999999999996
Surat Thani,TH,9.14,99.33,132040,False,36,27,81.2,3.2,31.6,60.0,52.400000000000006,28.799999999999997,94.0,5.6000000000000005,32.800000000000004,62.8,52.400000000000006,44.0
Fürth,DE,49.48,10.99,132036,False,80,69,22.400000000000002,11.600000000000001,11.200000000000001,0.0,0.4,28.4,20.8,17.2,15.2,0.0,0.4,47.599999999999994
Ferrare,IT,44.84,11.62,132009,False,48,45,18.8,40.8,33.2,11.200000000000001,71.2,32.4,22.8,45.6,38.4,11.200000000000001,71.2,54.400000000000006
Quận Đức Thịnh,VN,10.31,105.74,132000,False,25,24,76.0,11.200000000000001,52.0,60.4,94.8,26.0,86.0,5.2,48.4,60.8,94.8,32.800000000000004
Isidro Casanova,AR,-34.7,-58.59,131981,False,86,76,9.6,7.199999999999999,5.6000000000000005,1.2,0.0,22.0,12.0,9.6,6.4,1.2,0.0,38.4
Ōmuta,JP,33.03,130.45,131974,False,58,56,22.400000000000002,0.0,2.0,63.2,0.0,25.2,25.6,0.0,3.2,64.4,0.0,46.0
Villa Mercedes,CL,-37.4,-71.98,131936,False,81,69,12.0,0.0,29.599999999999998,0.0,0.0,22.8,10.8,0.0,33.2,0.0,0.0,49.6
Fuji,CN,29.15,105.37,131927,False,87,79,18.8,0.0,7.6,0.0,0.0,14.799999999999999,24.0,0.0,8.799999999999999,0.0,0.0,32.4
Palwal,IN,28.14,77.32,131926,False,43,42,64.0,59.599999999999994,78.0,0.0,0.0,8.799999999999999,68.4,59.199999999999996,78.0,0.0,0.0,23.599999999999998
Bielany,PL,52.29,20.94,131910,False,66,56,22.8,34.4,16.0,0.0,43.2,39.2,20.4,39.2,20.0,0.0,43.2,59.599999999999994
Dawukou,CN,39.04,106.4,131880,False,40,38,38.800000000000004,89.60000000000001,17.599999999999998,0.0,7.6,24.8,38.4,90.4,19.2,0.0,7.6,48.4
Bulaon,PH,15.08,120.66,131818,False,45,38,71.2,0.0,42.4,34.4,50.4,19.2,80.4,0.0,43.2,38.4,50.4,35.199999999999996
Garut,ID,-7.24,107.92,131809,False,84,73,0.0,0.0,16.400000000000002,0.0,0.0,27.6,1.2,0.0,19.6,0.0,0.0,46.0
Ajdabiya,LY,30.76,20.23,131773,False,34,32,28.000000000000004,100.0,14.000000000000002,12.4,0.0,26.400000000000002,34.4,100.0,13.600000000000001,13.200000000000001,0.0,46.0
Abiko,JP,35.87,140.02,131771,False,69,68,18.0,0.0,0.0,2.8000000000000003,46.800000000000004,22.8,19.2,0.0,0.0,2.8000000000000003,46.800000000000004,41.6
Kadoma,JP,34.74,135.57,131727,False,54,52,24.0,0.0,1.2,54.400000000000006,62.8,25.6,26.8,0.0,2.4,56.00000000000001,62.8,45.2
Majie,CN,25.03,102.64,131696,False,78,64,3.5999999999999996,23.200000000000003,26.400000000000002,0.0,0.0,32.4,3.2,29.2,30.0,0.0,0.0,56.00000000000001
Bhakkar,PK,31.63,71.06,131658,False,26,24,76.8,96.8,40.8,0.0,55.60000000000001,21.2,80.80000000000001,97.2,40.400000000000006,0.0,55.60000000000001,40.400000000000006
Rio Pequeno,BR,-23.57,-46.76,131631,False,87,78,1.6,0.0,14.799999999999999,0.0,0.0,20.8,3.5999999999999996,0.0,16.0,0.0,0.0,36.8
Kāshmar,IR,35.24,58.47,131517,False,38,35,30.8,92.80000000000001,41.6,0.0,0.0,28.000000000000004,34.0,94.0,40.8,0.0,0.0,51.2
Jijel,DZ,36.82,5.76,131513,False,65,62,10.8,17.2,54.400000000000006,0.8,0.0,25.6,14.000000000000002,22.0,57.199999999999996,1.2,0.0,44.0
Martapura,ID,-3.41,114.86,131449,False,56,47,67.2,0.0,0.0,22.0,0.0,21.6,79.2,0.0,0.0,22.400000000000002,0.0,41.199999999999996
Villeurbanne,FR,45.77,4.88,131445,False,68,66,12.8,4.3999999999999995,11.200000000000001,0.0,48.0,24.0,12.8,12.0,17.599999999999998,0.0,48.0,45.6
Hải Châu,VN,15.92,108.13,131427,False,52,48,58.8,0.0,26.400000000000002,10.0,65.60000000000001,16.0,69.19999999999999,0.0,28.000000000000004,10.8,65.60000000000001,31.2
Limbé,CM,4.02,9.21,131381,False,80,70,28.000000000000004,0.0,27.6,2.0,0.0,17.2,43.2,0.0,29.2,2.0,0.0,33.6
Rānīganj,IN,23.62,87.13,131261,False,47,45,75.2,16.400000000000002,46.800000000000004,0.0,36.0,0.0,77.60000000000001,12.0,45.6,0.0,36.0,10.8
Hepo,CN,23.43,115.83,131238,False,78,72,32.4,0.0,16.0,0.0,0.0,21.2,39.6,0.0,18.0,0.0,0.0,39.2
Iranshahr,IR,27.2,60.68,131232,False,30,28,67.2,100.0,17.599999999999998,0.0,17.599999999999998,22.8,73.2,100.0,16.400000000000002,0.0,17.599999999999998,45.2
Soubré,CI,5.78,-6.59,131181,False,53,51,61.199999999999996,16.8,42.4,0.0,42.4,29.599999999999998,64.8,14.399999999999999,41.199999999999996,0.0,42.4,40.400000000000006
Onomichi,JP,34.42,133.2,131170,False,82,70,24.4,0.0,1.6,9.2,0.0,25.2,26.8,0.0,3.2,9.6,0.0,46.0
Denton,US,33.22,-97.13,131044,False,69,63,40.8,29.599999999999998,23.599999999999998,0.0,0.0,32.4,44.800000000000004,30.0,24.4,0.0,0.0,50.4
Etah,IN,27.56,78.66,131023,False,46,44,71.6,51.6,72.8,0.0,8.4,3.5999999999999996,75.2,50.8,72.39999999999999,0.0,8.4,16.0
Pīlibhīt,IN,28.63,79.8,131008,False,57,53,64.0,6.4,44.0,0.0,0.0,6.4,68.8,6.4,44.800000000000004,0.0,0.0,22.0
Shangzhi,CN,45.21,128.0,131006,False,70,62,44.4,10.0,10.0,0.0,0.0,28.799999999999997,44.0,12.8,10.4,0.0,0.0,55.60000000000001
Lashio,MM,22.94,97.75,131000,False,76,75,20.8,0.0,36.0,0.0,0.0,17.599999999999998,26.0,0.0,36.8,0.0,0.0,31.6
Rayon KhTZ,UA,49.94,36.37,131000,False,68,54,30.8,26.8,24.0,0.0,0.0,44.4,30.0,33.2,28.4,0.0,0.0,68.4
Novomoskovsk,RU,54.01,38.29,130982,False,68,53,34.4,14.799999999999999,15.6,0.0,0.0,47.199999999999996,32.800000000000004,18.4,17.2,0.0,0.0,72.39999999999999
Matsubara,JP,34.57,135.55,130855,False,63,61,18.8,0.0,0.0,50.0,42.4,25.6,19.2,0.0,0.4,51.2,42.4,45.2
Abengourou,CI,6.73,-3.5,130810,False,57,52,60.8,18.8,50.0,0.0,0.0,26.8,67.2,19.6,50.4,0.0,0.0,39.6
Al Bāb,SY,36.37,37.52,130745,False,38,35,36.8,89.60000000000001,50.0,0.0,0.0,31.6,40.8,91.2,47.599999999999994,0.0,0.0,56.8
Shuangcheng,CN,45.38,126.31,130710,False,69,58,43.6,18.8,15.6,0.0,0.0,30.4,42.8,19.2,15.2,0.0,0.0,61.199999999999996
Exeter,GB,50.72,-3.53,130709,False,88,81,9.2,0.0,7.6,7.6,0.0,16.8,8.0,0.0,10.0,7.6,0.0,29.2
Circoiscrizione III,IT,45.06,7.63,130709,False,78,65,15.2,22.8,24.0,0.0,21.2,26.8,16.400000000000002,26.400000000000002,28.4,0.0,21.2,48.4
Ho,GH,6.6,0.47,130701,False,57,50,61.6,21.2,43.6,0.0,0.0,14.399999999999999,70.8,24.0,44.800000000000004,0.0,0.0,34.0
Narowal,PK,32.1,74.87,130692,False,48,47,57.99999999999999,47.199999999999996,63.6,0.0,52.0,20.0,63.6,47.199999999999996,63.2,0.0,52.0,39.6
Lao Cai,VN,22.49,103.97,130671,False,66,60,48.4,0.0,18.8,0.0,27.200000000000003,18.0,56.8,0.0,19.2,0.0,27.200000000000003,31.6
Al Ajaylat,LY,32.76,12.38,130546,False,34,32,26.400000000000002,95.19999999999999,37.6,27.6,0.0,24.0,32.800000000000004,95.6,37.6,28.4,0.0,42.4
Udon Thani,TH,17.42,102.79,130531,False,47,41,77.2,19.6,53.6,0.0,0.0,19.2,85.2,21.2,56.00000000000001,0.0,0.0,36.0
Baḥarkah,IQ,36.32,44.04,130518,False,43,39,42.4,58.4,80.0,0.0,0.0,33.6,46.400000000000006,62.8,82.39999999999999,0.0,0.0,62.0
Bayan Lepas,MY,5.3,100.26,130455,False,60,51,60.8,0.0,0.0,14.399999999999999,0.0,24.0,73.6,0.0,0.0,14.799999999999999,0.0,43.2
Petrogradka,RU,59.97,30.31,130455,False,56,46,30.8,0.0,4.0,38.0,57.599999999999994,47.599999999999994,27.200000000000003,0.0,5.2,38.800000000000004,57.599999999999994,75.6
Rajapalayam,IN,9.45,77.55,130442,False,44,36,77.60000000000001,53.2,52.800000000000004,0.0,0.0,19.2,89.2,52.400000000000006,52.400000000000006,0.0,0.0,31.2
Zipaquirá,CO,5.02,-74.0,130432,False,87,72,0.0,0.0,11.200000000000001,0.0,0.0,22.8,0.0,0.0,14.399999999999999,0.0,0.0,48.4
Jīroft,IR,28.68,57.74,130429,False,32,29,38.4,98.8,32.800000000000004,0.0,22.0,26.8,46.0,99.6,31.6,0.0,22.0,52.0
Cedar Rapids,US,42.01,-91.64,130405,False,70,61,38.0,0.0,2.0,0.0,41.6,32.0,39.6,0.0,2.0,0.0,41.6,56.00000000000001
Dongyang,CN,29.27,120.22,130387,False,82,73,28.000000000000004,0.0,2.4,0.0,0.0,18.8,32.4,0.0,3.5999999999999996,0.0,0.0,40.8
Nantou,CN,22.72,113.29,130370,False,25,23,44.800000000000004,0.0,16.400000000000002,100.0,94.0,20.8,53.2,0.0,18.4,100.0,94.0,38.800000000000004
Botad,IN,22.17,71.67,130327,False,36,35,77.60000000000001,69.6,85.6,0.0,0.0,18.8,81.6,69.19999999999999,85.2,0.0,0.0,36.0
Naplouse,PS,32.22,35.25,130326,False,43,40,20.8,83.2,62.0,0.0,0.0,28.4,25.2,85.2,60.0,0.0,0.0,51.6
New Haven,US,41.31,-72.93,130322,False,76,61,29.599999999999998,0.0,0.0,17.2,0.0,34.8,30.8,0.0,0.0,17.599999999999998,0.0,59.599999999999994
Arcahaie,HT,18.77,-72.51,130306,False,79,67,15.2,0.0,32.4,0.8,0.0,19.6,26.0,3.5999999999999996,36.0,1.2,0.0,49.6
Jiazi,CN,22.88,116.07,130298,False,60,57,38.800000000000004,0.0,19.6,55.2,0.0,20.8,47.199999999999996,0.0,21.6,57.599999999999994,0.0,40.8
Foumban,CM,5.73,10.9,130287,False,76,74,8.0,0.0,40.400000000000006,0.0,0.0,15.6,14.000000000000002,0.0,40.8,0.0,0.0,32.4
Roseville,US,38.75,-121.29,130269,False,46,44,20.4,60.8,79.2,0.0,4.3999999999999995,23.200000000000003,22.8,62.4,80.0,0.0,4.3999999999999995,39.6
Quilpué,CL,-33.05,-71.44,130263,False,52,48,1.6,73.6,47.599999999999994,0.0,0.0,24.4,1.6,78.4,46.800000000000004,0.0,0.0,50.4
Rawson,AR,-31.58,-68.54,130258,False,39,37,25.2,90.8,37.2,0.0,14.399999999999999,28.799999999999997,28.000000000000004,90.8,38.800000000000004,0.0,14.399999999999999,44.0
Sīdī Ḥusayn,TN,36.76,10.12,130255,False,47,45,24.0,66.8,75.6,4.3999999999999995,0.0,26.0,29.2,68.0,76.0,5.2,0.0,42.8
Kati,ML,12.74,-8.07,130254,False,44,38,73.2,50.4,75.6,0.0,4.3999999999999995,20.0,82.0,53.6,77.2,0.0,4.3999999999999995,38.4
Seri Kembangan,MY,3.03,101.72,130252,False,60,50,63.2,0.0,0.0,0.0,0.0,16.0,78.4,0.0,0.0,0.0,0.0,33.2
Kembangan,SG,1.32,103.91,130252,False,63,57,57.199999999999996,0.0,0.0,8.0,0.0,18.0,65.2,0.0,0.0,8.4,0.0,33.6
Colchester,GB,51.89,0.9,130245,False,75,72,13.600000000000001,30.8,22.400000000000002,25.6,0.0,18.8,12.0,35.199999999999996,26.8,26.0,0.0,33.6
Umeå,SE,63.83,20.26,130224,False,65,50,40.400000000000006,0.0,3.5999999999999996,9.6,45.6,44.0,36.0,0.0,3.5999999999999996,9.6,45.6,73.6
Din Daeng,TH,13.79,100.57,130220,False,18,16,90.0,6.800000000000001,48.0,100.0,92.0,18.0,100.0,5.6000000000000005,47.599999999999994,100.0,92.0,36.0
Chaman,PK,30.92,66.45,130139,False,38,36,29.599999999999998,92.0,42.0,0.0,0.0,27.200000000000003,30.8,93.2,41.199999999999996,0.0,0.0,53.2
Sennar,SD,13.57,33.57,130122,False,32,26,77.60000000000001,82.8,84.0,0.0,46.0,26.8,89.60000000000001,85.2,81.2,0.0,46.0,45.6
Masaya,NI,11.97,-86.1,130113,False,63,60,54.400000000000006,0.0,44.4,0.0,2.4,24.0,56.8,0.0,45.2,0.0,2.4,44.0
Visalia,US,36.33,-119.29,130104,False,40,38,24.8,90.0,48.4,0.0,0.0,27.6,27.6,90.4,48.8,0.0,0.0,43.6
Nankana Sahib,PK,31.45,73.71,130041,False,41,39,62.4,79.2,69.6,0.0,3.5999999999999996,19.2,67.2,79.60000000000001,70.0,0.0,3.5999999999999996,38.4
Caála,AO,-12.85,15.56,130000,False,78,75,0.8,0.0,36.8,0.0,0.0,18.4,1.6,0.0,38.800000000000004,0.0,0.0,40.0
Sonārgaon,BD,23.65,90.62,130000,False,23,21,66.4,0.0,32.800000000000004,100.0,98.0,4.3999999999999995,73.6,0.0,33.6,100.0,98.0,18.0
Tottenham,GB,51.6,-0.07,130000,False,74,71,11.600000000000001,26.400000000000002,22.0,31.6,16.0,18.4,10.4,30.8,26.400000000000002,32.0,16.0,34.0
14e arrondissement de Budapest,HU,47.52,19.1,130000,False,62,53,20.0,41.6,30.0,0.0,48.4,38.4,20.0,46.800000000000004,38.0,0.0,48.4,60.8
Aley,LB,33.8,35.6,130000,False,64,59,12.4,14.000000000000002,56.39999999999999,0.0,0.0,28.000000000000004,12.8,22.0,60.8,0.0,0.0,52.0
San Martin,PE,-5.19,-80.67,130000,False,32,30,33.2,100.0,0.0,0.0,43.6,26.0,38.800000000000004,100.0,0.0,0.0,43.6,53.2
Tychy,PL,50.14,18.97,130000,False,77,66,23.200000000000003,3.2,3.2,0.0,0.0,35.199999999999996,21.2,11.200000000000001,4.8,0.0,0.0,54.400000000000006
Ramenki,RU,55.7,37.5,130000,False,68,54,33.2,0.0,5.2,0.0,31.2,46.0,30.0,0.0,6.4,0.0,31.2,71.2
Wuda,CN,39.5,106.71,129922,False,36,34,39.6,91.60000000000001,16.8,0.0,41.6,26.0,39.6,92.0,18.4,0.0,41.6,48.4
Cambridge,CA,43.36,-80.31,129920,False,76,61,32.4,0.0,0.0,0.0,0.0,37.2,31.2,0.0,0.0,0.0,0.0,63.2
Mardin,TR,37.31,40.74,129864,False,42,39,40.0,63.2,81.6,0.0,0.0,34.4,44.0,67.2,82.8,0.0,0.0,64.4
Pingxiang,CN,22.1,106.76,129843,False,73,68,39.6,0.0,18.8,0.0,8.0,13.200000000000001,46.400000000000006,0.0,20.0,0.0,8.0,29.2
Zwolle,NL,52.51,6.09,129840,False,35,34,14.000000000000002,0.0,7.6,100.0,22.0,22.8,12.0,0.0,10.4,100.0,22.0,39.2
Baidoa,SO,3.11,43.65,129839,False,39,36,64.4,80.80000000000001,78.8,0.0,0.0,19.6,74.0,83.6,75.2,0.0,0.0,35.6
Sầm Sơn,VN,19.73,105.9,129801,False,27,25,56.8,0.0,19.2,100.0,57.199999999999996,13.200000000000001,65.2,0.0,20.0,100.0,57.199999999999996,27.200000000000003
Santo António,CN,22.2,113.54,129800,False,37,33,42.0,0.0,16.0,87.6,41.6,19.6,49.6,0.0,18.0,91.2,41.6,36.8
Salford,GB,53.49,-2.29,129794,False,90,83,11.200000000000001,0.0,6.0,0.0,0.0,15.6,10.0,0.0,7.6,0.0,0.0,28.4
Mandi Bahauddin,PK,32.59,73.49,129733,False,46,44,58.8,56.39999999999999,66.8,0.0,50.4,22.8,64.4,56.00000000000001,67.2,0.0,50.4,44.4
Tokat,TR,40.31,36.55,129702,False,61,57,23.599999999999998,50.4,53.2,0.0,0.0,30.0,22.400000000000002,55.2,57.99999999999999,0.0,0.0,53.2
Erebouni,AM,40.13,44.53,129700,False,46,43,31.6,74.4,46.800000000000004,0.0,21.2,30.0,33.2,77.60000000000001,46.0,0.0,21.2,55.60000000000001
Ô Môn,VN,10.11,105.62,129683,False,21,21,78.8,12.0,52.400000000000006,60.4,100.0,30.0,88.0,4.0,47.599999999999994,60.4,100.0,34.4
Gapan,PH,15.31,120.95,129610,False,51,44,73.6,0.0,37.2,0.0,12.0,17.599999999999998,82.8,0.0,37.2,0.0,12.0,34.0
Deoria,IN,26.5,83.78,129570,False,49,48,74.0,25.6,57.199999999999996,0.0,1.6,0.8,75.6,21.6,55.60000000000001,0.0,1.6,14.799999999999999
Bayambang,PH,15.81,120.46,129506,False,41,33,84.39999999999999,0.0,44.4,0.0,50.8,18.8,95.19999999999999,0.0,44.4,0.0,50.8,33.6
Mianwali,PK,32.58,71.53,129500,False,32,30,74.0,84.8,63.6,0.0,57.99999999999999,24.8,78.0,84.8,66.0,0.0,57.99999999999999,46.400000000000006
Coral Springs,US,26.27,-80.27,129485,False,70,63,45.6,0.0,9.2,0.0,0.0,21.2,55.60000000000001,0.0,9.6,0.0,0.0,39.2
Sherbrooke,CA,45.4,-71.9,129447,False,73,60,38.0,0.0,0.0,0.0,21.2,35.6,36.8,0.0,0.0,0.0,21.2,61.6
Al Bayda,LY,32.76,21.76,129439,False,53,50,6.800000000000001,68.0,69.19999999999999,0.0,0.0,24.4,8.799999999999999,70.39999999999999,71.6,0.0,0.0,44.800000000000004
Jardim Helena,BR,-23.48,-46.41,129409,False,88,79,0.4,0.0,9.6,0.0,0.0,20.0,1.6,0.0,10.4,0.0,0.0,36.0
Sabará,BR,-19.89,-43.81,129380,False,81,74,6.0,0.0,30.0,0.0,0.0,26.0,10.0,0.0,31.2,0.0,0.0,41.199999999999996
Acilia-Castel Fusano-Ostia Antica,IT,41.76,12.33,129362,False,59,55,12.0,32.0,50.4,30.4,49.6,26.0,16.0,36.8,53.6,31.6,49.6,47.199999999999996
Charlottenburg,DE,52.52,13.28,129359,False,67,62,18.0,29.2,17.2,0.0,44.4,31.6,16.0,34.0,22.8,0.0,44.4,50.8
Thousand Oaks,US,34.17,-118.84,129339,False,50,48,4.0,75.2,60.4,0.0,0.0,24.0,4.3999999999999995,76.8,61.6,0.0,0.0,39.6
Columbia,US,38.95,-92.33,129330,False,74,64,38.0,0.0,0.0,0.0,8.4,32.4,40.8,0.0,0.0,0.0,8.4,54.800000000000004
Colatina,BR,-19.54,-40.63,129301,False,70,65,38.800000000000004,17.2,27.6,0.0,19.2,22.8,46.800000000000004,17.2,28.4,0.0,19.2,35.6
Győr,HU,47.68,17.64,129301,False,52,49,20.0,38.4,22.8,0.0,67.60000000000001,37.2,20.0,44.0,30.8,0.0,67.60000000000001,59.599999999999994
Copiapó,CL,-27.37,-70.33,129280,False,38,36,1.2,100.0,0.0,0.0,22.8,24.0,0.8,100.0,0.0,0.0,22.8,46.400000000000006
Kokubunji,JP,35.7,139.48,129242,False,85,74,18.4,0.0,0.0,0.4,0.0,23.599999999999998,20.4,0.0,0.0,0.4,0.0,42.8
Quibdó,CO,5.69,-76.66,129237,False,53,38,68.4,0.0,0.0,0.0,44.0,21.2,91.60000000000001,0.0,0.0,0.0,44.0,38.4
Guelmim,MA,28.99,-10.06,129200,False,38,37,7.199999999999999,100.0,4.8,0.0,4.0,20.0,10.0,100.0,0.0,0.0,4.0,40.400000000000006
Charallave,VE,10.24,-66.86,129182,False,64,55,46.400000000000006,20.8,48.8,0.0,0.0,24.0,56.39999999999999,35.6,57.599999999999994,0.0,0.0,54.0
Shahr-e Kord,IR,32.33,50.86,129153,False,42,40,34.4,82.8,51.6,0.0,0.0,31.2,34.8,84.8,50.4,0.0,0.0,57.99999999999999
Malambo,CO,10.86,-74.77,129148,False,22,20,100.0,30.4,58.4,38.4,65.2,21.6,100.0,39.2,63.6,40.400000000000006,65.2,35.199999999999996
Tatuí,BR,-23.36,-47.86,129130,False,85,74,6.4,8.0,22.0,0.0,0.0,21.2,10.0,9.2,23.599999999999998,0.0,0.0,39.6
Iwakuni,JP,34.16,132.22,129125,False,79,69,16.400000000000002,0.0,0.0,30.0,0.0,24.8,17.2,0.0,0.0,30.8,0.0,45.6
Leiyang,CN,26.4,112.86,129116,False,73,71,33.2,0.0,1.6,0.0,38.800000000000004,18.0,38.4,0.0,2.8000000000000003,0.0,38.800000000000004,36.4
Białołeka,PL,52.32,20.97,129106,False,64,56,22.8,34.4,16.0,0.0,46.0,39.2,20.4,39.2,20.0,0.0,46.0,59.599999999999994
Cadiz,PH,10.95,123.29,129053,False,49,43,77.2,0.0,0.0,26.0,0.0,15.6,86.0,0.0,0.0,27.200000000000003,0.0,32.0
Carnot,CF,4.94,15.88,129032,False,68,60,45.2,0.0,41.199999999999996,0.0,20.4,13.600000000000001,55.2,0.0,41.199999999999996,0.0,20.4,30.0
Bat Yam,IL,32.02,34.75,129012,False,44,43,19.2,66.0,83.2,0.4,0.0,24.8,23.599999999999998,68.4,82.0,0.4,0.0,46.0
Zacatecas,MX,22.77,-102.58,129011,False,49,46,3.5999999999999996,76.0,57.199999999999996,0.0,0.0,33.2,4.8,78.8,60.4,0.0,0.0,61.199999999999996
Elizabeth,US,40.66,-74.21,129007,False,74,59,29.2,0.0,0.0,26.400000000000002,0.0,36.4,31.2,0.0,0.0,27.6,0.0,62.0
Zyablikovo,RU,55.62,37.77,129000,False,67,53,33.6,0.0,6.800000000000001,0.0,41.6,45.6,30.8,0.0,7.6,0.0,41.6,70.8
Daur,PK,26.46,68.32,128958,False,26,24,92.4,100.0,17.2,0.0,28.000000000000004,22.0,97.2,100.0,18.8,0.0,28.000000000000004,43.2
Bingöl,TR,38.88,40.49,128935,False,62,52,34.0,16.0,54.800000000000004,0.0,4.0,35.6,36.0,25.6,60.0,0.0,4.0,67.60000000000001
Copacabana,BR,-22.97,-43.19,128919,False,73,69,30.4,23.200000000000003,34.4,6.800000000000001,0.0,22.400000000000002,37.6,24.0,36.0,6.800000000000001,0.0,38.4
Sātkhira,BD,22.71,89.07,128918,False,29,28,76.4,0.0,30.8,100.0,0.4,6.800000000000001,78.0,0.0,31.2,100.0,0.4,18.8
Parung,ID,-6.42,106.73,128905,False,74,64,40.0,0.0,0.0,0.0,0.0,28.000000000000004,55.2,0.0,0.0,0.0,0.0,44.800000000000004
Palo Negro,VE,10.17,-67.54,128875,False,64,52,22.8,27.200000000000003,52.800000000000004,0.0,0.0,26.0,40.400000000000006,45.6,63.6,0.0,0.0,60.8
Stamford,US,41.05,-73.54,128874,False,75,61,28.4,0.0,0.0,17.2,0.0,36.0,30.0,0.0,0.0,17.599999999999998,0.0,60.4
Idlib,SY,35.93,36.63,128840,False,47,44,28.799999999999997,74.8,72.8,0.0,0.0,28.799999999999997,32.0,77.2,71.2,0.0,0.0,51.6
Moanda,CD,-5.93,12.37,128804,False,47,43,56.39999999999999,52.400000000000006,66.4,14.000000000000002,22.8,21.6,59.599999999999994,56.8,71.2,16.0,22.8,42.0
Sīnah,IQ,36.81,43.04,128776,False,47,43,39.2,48.0,74.8,0.0,0.0,33.2,43.2,53.2,77.60000000000001,0.0,0.0,62.0
Ōsaki,JP,38.59,140.97,128763,False,84,73,20.8,0.0,0.0,0.0,2.8000000000000003,23.200000000000003,20.4,0.0,0.0,0.0,2.8000000000000003,44.0
Magelang,ID,-7.47,110.22,128709,False,69,63,46.400000000000006,0.0,28.000000000000004,0.0,0.0,22.400000000000002,55.2,0.0,29.599999999999998,0.0,0.0,31.6
Concord,US,37.98,-122.03,128667,False,46,45,9.6,52.800000000000004,76.0,24.8,24.4,21.2,10.0,54.0,76.4,25.2,24.4,34.4
Leiria,PT,39.74,-8.81,128640,False,75,71,3.2,12.8,40.400000000000006,0.0,0.0,18.0,3.5999999999999996,18.8,45.2,0.0,0.0,31.6
Puno,PE,-15.84,-70.02,128637,False,80,67,20.4,8.799999999999999,10.0,0.0,0.0,29.599999999999998,14.000000000000002,10.4,12.8,0.0,0.0,54.0
Kamychine,RU,50.09,45.41,128626,False,55,45,35.199999999999996,54.0,35.199999999999996,0.0,51.6,44.800000000000004,35.6,58.4,38.800000000000004,0.0,51.6,70.39999999999999
Shuanglonghu,CN,29.72,106.61,128563,False,84,77,21.6,0.0,3.2,0.0,20.4,14.000000000000002,26.0,0.0,5.2,0.0,20.4,32.800000000000004
Nimach,IN,24.46,74.87,128561,False,52,51,50.4,37.2,68.0,0.0,0.0,14.799999999999999,54.800000000000004,37.6,68.0,0.0,0.0,29.599999999999998
Kafr ad Dawwār,EG,31.13,30.13,128539,False,18,16,27.200000000000003,100.0,15.2,100.0,97.6,21.2,33.2,100.0,14.000000000000002,100.0,97.6,39.6
Águas Claras,BR,-15.84,-48.03,128486,False,78,72,4.3999999999999995,0.0,34.8,0.0,0.0,30.0,8.799999999999999,0.0,36.0,0.0,0.0,43.6
Bosque Saúde,BR,-23.61,-46.62,128469,False,88,79,0.4,0.0,6.800000000000001,0.0,0.0,20.0,1.2,0.0,6.800000000000001,0.0,0.0,36.8
Novocheboksarsk,RU,56.11,47.48,128468,False,62,49,37.6,12.8,10.8,0.0,50.0,47.199999999999996,35.199999999999996,17.2,13.200000000000001,0.0,50.0,73.6
Besançon,FR,47.25,6.02,128426,False,85,72,16.400000000000002,0.0,0.0,0.0,0.0,22.8,15.2,0.0,1.2,0.0,0.0,46.800000000000004
Lugazi,UG,0.37,32.94,128400,False,88,77,0.8,0.0,4.3999999999999995,0.0,0.0,21.2,2.4,0.0,4.0,0.0,0.0,40.0
Thành phố Sông Công,VN,21.48,105.84,128357,False,67,61,51.6,0.0,20.0,0.4,0.4,10.8,58.4,0.0,21.2,0.4,0.4,27.6
Rosario,PH,13.63,121.22,128352,False,59,53,63.6,0.0,27.200000000000003,0.0,0.0,17.2,70.8,0.0,27.6,0.0,0.0,32.800000000000004
Khardah,IN,22.72,88.38,128346,False,37,36,80.0,0.0,33.6,61.199999999999996,70.8,7.6,80.0,0.0,34.0,62.4,70.8,18.4
Sakaka,SA,29.97,40.21,128332,False,34,32,49.2,100.0,0.0,0.0,0.0,32.0,55.2,100.0,0.0,0.0,0.0,54.800000000000004
Khénifra,MA,32.94,-5.66,128318,False,49,48,12.8,63.2,74.8,0.0,0.0,36.8,15.2,68.4,72.39999999999999,0.0,0.0,66.8
Al Manāqil,SD,14.25,32.99,128297,False,31,29,76.0,92.80000000000001,61.6,0.0,0.0,28.799999999999997,87.2,93.60000000000001,60.4,0.0,0.0,50.8
Roustavi,GE,41.56,44.98,128249,False,53,49,24.8,62.0,47.599999999999994,0.0,36.0,29.599999999999998,28.4,65.2,48.8,0.0,36.0,54.0
Jose Bonifacio,BR,-23.57,-46.43,128243,False,88,78,1.2,0.0,11.200000000000001,0.0,0.0,20.0,2.0,0.0,12.0,0.0,0.0,36.8
Manzanillo,CU,20.34,-77.12,128188,False,49,40,70.0,12.0,41.199999999999996,30.4,0.0,21.6,82.0,17.2,44.4,32.4,0.0,37.2
Yavatmāl,IN,20.39,78.13,128175,False,56,53,60.8,30.4,59.599999999999994,0.0,0.0,3.2,65.2,30.8,59.599999999999994,0.0,0.0,14.799999999999999
