city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Dhaurahra,IN,28.0,81.09,20098,False,31,30,69.19999999999999,22.8,54.0,0.0,95.19999999999999,6.4,73.6,22.8,55.2,0.0,95.19999999999999,19.6
Cornaredo,IT,45.5,9.03,20098,False,81,68,19.2,0.0,10.8,0.0,0.0,28.799999999999997,21.2,2.0,13.600000000000001,0.0,0.0,51.2
Timotes,VE,8.98,-70.74,20098,False,86,75,0.0,0.0,13.200000000000001,0.0,0.0,23.599999999999998,0.0,0.0,16.0,0.0,0.0,43.6
Colombia,CU,20.99,-77.43,20096,False,53,45,70.8,0.4,34.0,0.0,0.0,22.400000000000002,81.2,5.6000000000000005,38.0,0.0,0.0,38.800000000000004
Khairāgarh,IN,26.94,77.82,20095,False,46,43,68.8,45.6,68.4,0.0,47.199999999999996,8.799999999999999,72.8,45.6,68.4,0.0,47.199999999999996,18.0
Maksi,IN,23.26,76.15,20094,False,58,57,50.8,24.4,60.0,0.0,0.0,12.4,54.800000000000004,24.4,60.0,0.0,0.0,19.6
Beruri,BR,-3.9,-61.37,20093,False,46,31,76.8,0.0,0.0,0.0,68.0,21.6,100.0,0.0,0.0,0.0,68.0,50.8
Yotsutsuji,JP,35.53,135.1,20092,False,84,73,22.8,0.0,0.0,0.8,0.0,23.200000000000003,24.0,0.0,0.0,0.8,0.0,44.0
Mezcales,MX,20.73,-105.28,20092,False,41,35,77.2,29.2,64.0,0.8,46.800000000000004,22.0,85.6,32.800000000000004,66.0,0.8,46.800000000000004,42.0
Monroe,US,41.92,-83.4,20092,False,70,60,28.799999999999997,0.0,2.0,0.0,42.8,35.6,28.799999999999997,0.0,2.0,0.0,42.8,59.599999999999994
Nova Hartz,BR,-29.58,-50.9,20088,False,88,77,5.6000000000000005,0.0,0.0,0.0,0.0,21.2,8.0,0.0,0.0,0.0,0.0,38.800000000000004
Jijoca de Jericoacoara,BR,-2.9,-40.45,20087,False,51,43,69.19999999999999,22.400000000000002,60.8,0.4,0.0,20.0,82.0,18.0,57.99999999999999,0.4,0.0,38.4
Shemonaikha,KZ,50.63,81.91,20087,False,64,52,45.6,19.6,25.2,0.0,28.000000000000004,37.2,44.4,24.8,30.4,0.0,28.000000000000004,65.60000000000001
Beloyarskiy,RU,63.71,66.67,20087,False,57,46,45.2,0.0,3.5999999999999996,0.0,59.599999999999994,53.2,45.2,0.0,3.5999999999999996,0.0,59.599999999999994,78.8
Barroso,BR,-21.19,-43.98,20080,False,84,75,2.0,0.0,25.6,0.0,0.0,24.0,4.0,0.0,27.200000000000003,0.0,0.0,40.8
Annur,IN,11.24,77.1,20079,False,42,40,64.4,68.4,77.60000000000001,0.0,0.0,14.799999999999999,70.39999999999999,69.19999999999999,78.0,0.0,0.0,31.2
